20,10,40,1177
30,15,60,223
40,20,80,242
50,25,100,249
60,30,120,316
70,35,140,419
80,40,160,588
90,45,180,724
100,50,200,1294
110,55,220,1096
120,60,240,2240
130,65,260,3250
140,70,280,3935
150,75,300,5418
160,80,320,5670
170,85,340,10628
180,90,360,23137
190,95,380,60687
200,100,400,66090
210,105,420,121850
220,110,440,239887
